YEAR,GoogleKnowlege_Occupation,Show,Group,Raw_Guest_List
1999,actor,1/11/99,Acting,Michael J. Fox
1999,television actress,1/13/99,Acting,Tracey Ullman
1999,film actress,1/14/99,Acting,Gillian Anderson
1999,actor,1/18/99,Acting,David Alan Grier
1999,actor,1/19/99,Acting,William Baldwin
1999,actor,1/25/99,Acting,Matthew Lillard
1999,actress,1/27/99,Acting,Yasmine Bleeth
1999,actor,1/28/99,Acting,D. L. Hughley
1999,television actress,10/18/99,Acting,Rebecca Gayheart
1999,actress,10/20/99,Acting,Amy Brenneman
1999,actress,10/21/99,Acting,Melissa Gilbert
1999,actress,10/25/99,Acting,Cathy Moriarty
1999,actress,10/27/99,Acting,Sarah Michelle Gellar
1999,actor,10/4/99,Acting,Greg Proops
1999,actress,10/6/99,Acting,Brooke Shields
1999,actor,11/1/99,Acting,Chris O'Donnell
1999,actress,11/15/99,Acting,Christina Ricci
1999,actress,11/17/99,Acting,Yasmine Bleeth
1999,actress,11/2/99,Acting,Jennifer Love Hewitt
1999,Film actor,11/30/99,Acting,Stephen Rea
1999,television actress,11/8/99,Acting,Kellie Martin
1999,actress,11/9/99,Acting,Kathy Griffin
1999,actress,12/1/99,Acting,Laura San Giacomo
1999,actress,12/14/99,Acting,Shannen Doherty
1999,actor,12/2/99,Acting,Michael Boatman
1999,actor,12/20/99,Acting,David Boreanaz
1999,actor,12/6/99,Acting,Paul Rudd
1999,actor,12/9/99,Acting,Rob Schneider
1999,actress,2/10/99,Acting,"Pamela Anderson, Natalie Raitano, Molly Culver"
1999,actress,2/10/99,Acting,"Pamela Anderson, Natalie Raitano, Molly Culver"
1999,actress,2/10/99,Acting,"Pamela Anderson, Natalie Raitano, Molly Culver"
1999,film actor,2/11/99,Acting,Daniel Stern
1999,actress,2/16/99,Acting,Melina Kanakaredes
1999,actor,2/18/99,Acting,Mike Judge
1999,actor,2/2/99,Acting,Dave Foley
1999,television actress,2/3/99,Acting,Kellie Martin
1999,actor,2/4/99,Acting,Jerry O'Connell
1999,actress,2/8/99,Acting,Melissa Gilbert
1999,actor,2/9/99,Acting,Brendan Fraser
1999,actor,3/11/99,Acting,"Hootie & the Blowfish, Billy Crystal"
1999,Film actor,3/15/99,Acting,Peter Krause
1999,actor,3/17/99,Acting,"Frank DeCaro's Oscar Special, John Larroquette"
1999,actor,3/18/99,Acting,Joseph Gordon-Levitt
1999,actor,3/2/99,Acting,Eric McCormack
1999,actress,3/22/99,Acting,Jennifer Grey
1999,actress,3/24/99,Acting,Sandra Bullock
1999,actress,3/25/99,Acting,Janine Turner
1999,actress,3/3/99,Acting,Jeri Ryan
1999,actor,3/30/99,Acting,Omar Epps
1999,actress,3/31/99,Acting,Diane Lane
1999,actor,3/4/99,Acting,Ryan Phillippe
1999,actor,3/8/99,Acting,Ian McKellen
1999,actor,3/9/99,Acting,Jon Voight
1999,actor,4/1/99,Acting,Stephen Baldwin
1999,actor,4/12/99,Acting,Ernie Hudson
1999,film actor,4/13/99,Acting,Josh Charles
1999,actor,4/14/99,Acting,Jackie Chan
1999,actress,4/15/99,Acting,Marlee Matlin
1999,actress,4/19/99,Acting,Sharon Lawrence
1999,actor,4/20/99,Acting,Rob Estes
1999,actress,4/21/99,Acting,Angelina Jolie
1999,actor,4/26/99,Acting,Seth Green
1999,actress,4/27/99,Acting,Sheryl Lee Ralph
1999,actor,5/10/99,Acting,Thomas Gibson
1999,actress,5/11/99,Acting,Paula Cale
1999,actor,5/12/99,Acting,Ted Danson
1999,actor,5/13/99,Acting,Esai Morales
1999,actress,5/17/99,Acting,Jane Seymour
1999,actress,5/19/99,Acting,Camryn Manheim
1999,actor,5/20/99,Acting,Ray Romano
1999,television actress,5/24/99,Acting,Patricia Richardson
1999,actress,5/25/99,Acting,Suzanne Somers
1999,actress,5/26/99,Acting,Natalie Portman
1999,actor,5/27/99,Acting,Jamie Foxx
1999,actor,6/10/99,Acting,Timothy Hutton
1999,actor,6/14/99,Acting,Mike Myers
1999,actor,6/15/99,Acting,Rob Lowe
1999,actor,6/16/99,Acting,Mike Myers
1999,actress,6/17/99,Acting,Heather Graham
1999,film actress,6/21/99,Acting,Felicity Huffman
1999,actor,6/23/99,Acting,Adam Sandler
1999,actor,6/29/99,Acting,Scott Wolf
1999,actress,6/30/99,Acting,Roseanne Barr
1999,actor,6/9/99,Acting,Damon Wayans
1999,actor,7/1/99,Acting,Rob Schneider
1999,televison actor,7/12/99,Acting,Adam Arkin
1999,actor,7/14/99,Acting,John Leguizamo
1999,actress,7/19/99,Acting,Christa Miller
1999,actress,7/22/99,Acting,Joely Fisher
1999,actress,7/27/99,Acting,Wendie Malick
1999,film actress,7/29/99,Acting,Janeane Garofalo
1999,actor,8/11/99,Acting,Pierce Brosnan
1999,actress,8/17/99,Acting,Molly Ringwald
1999,actress,8/18/99,Acting,Sarah Jessica Parker
1999,actor,8/19/99,Acting,French Stewart
1999,actress,8/2/99,Acting,Bebe Neuwirth
1999,actress,8/23/99,Acting,Cheryl Ladd
1999,actress,8/26/99,Acting,Nia Long
1999,actor,8/3/99,Acting,Garry Marshall
1999,actor,8/4/99,Acting,Denis Leary
1999,actor,8/5/99,Acting,Jeffrey Tambor
1999,actor,8/9/99,Acting,Dave Foley
1999,actor,9/14/99,Acting,Tom Green
1999,actor,9/15/99,Acting,Jason Priestley
1999,actor,9/20/99,Acting,Andy Richter
1999,actor,9/23/99,Acting,Steve Zahn
1999,actress,9/28/99,Acting,Melissa Joan Hart
1999,actor,9/30/99,Acting,Bruce McCulloch and Mark McKinney
2000,actor,1/11/00,Acting,Will Ferrell
2000,actress,1/17/00,Acting,Penelope Ann Miller
2000,actor,1/18/00,Acting,Frankie Muniz
2000,actor,1/19/00,Acting,Freddie Prinze Jr.
2000,Film actress,1/24/00,Acting,Selma Blair
2000,Film actor,1/25/00,Acting,Peter Krause
2000,actor,1/27/00,Acting,David Arquette
2000,actress,1/4/00,Acting,Cynthia Nixon
2000,actor,10/17/00,Acting,Christian Slater
2000,actor,10/18/00,Acting,Joshua Jackson
2000,actor,10/19/00,Acting,Brendan Fraser
2000,actor,10/2/00,Acting,Dean Cain
2000,actor,10/23/00,Acting,Kevin James
2000,actor,10/26/00,Acting,Steven Weber
2000,actor,10/3/00,Acting,Ashton Kutcher
2000,actress,10/30/00,Acting,Brett Butler
2000,actor,11/13/00,Acting,Adam Sandler
2000,actress,11/14/00,Acting,Patricia Arquette
2000,actor,11/15/00,Acting,Adam Sandler
2000,actor,11/16/00,Acting,Rhys Ifans
2000,actor,11/2/00,Acting,Michael Richards
2000,actor,11/27/00,Acting,John Goodman
2000,actress,11/28/00,Acting,Laura San Giacomo
2000,film actor,11/29/00,Acting,Billy Campbell
2000,actor,11/30/00,Acting,Anthony Clark
2000,actress,12/18/00,Acting,Marla Sokoloff
2000,actress,12/19/00,Acting,Marisa Tomei
2000,actress,12/20/00,Acting,Jeri Ryan
2000,film actress,12/21/00,Acting,Gillian Anderson
2000,actor,12/4/00,Acting,Thomas Gibson
2000,actress,12/5/00,Acting,Faith Ford
2000,actor,12/6/00,Acting,Chris O'Donnell
2000,actor,12/7/00,Acting,Marlon Wayans
2000,actor,2/1/00,Acting,Jeff Bridges
2000,actor,2/1/00,Acting,Vin Diesel
2000,actor,2/15/00,Acting,Dennis Farina
2000,actor,2/16/00,Acting,Matthew Perry
2000,actor,2/22/00,Acting,Snoop Dogg
2000,actress,2/23/00,Acting,Charlize Theron
2000,actress,2/24/00,Acting,Rachael Leigh Cook
2000,actor,2/28/00,Acting,Forest Whitaker
2000,actor,2/3/00,Acting,Jason Priestly
2000,actor,3/1/00,Acting,Tobey Maguire
2000,actress,3/14/00,Acting,Kim Delaney
2000,actor,3/20/00,Acting,Chris Meloni
2000,actress,3/21/00,Acting,Marla Sokoloff
2000,film actress,3/23/00,Acting,Leelee Sobieski
2000,actor,3/28/00,Acting,Joshua Jackson
2000,actor,3/30/00,Acting,Jimmy Smits
2000,actor,3/6/00,Acting,Neil Patrick Harris
2000,actor,3/7/00,Acting,Kevin Pollak
2000,Film actor,4/12/00,Acting,Patrick Stewart
2000,actor,4/13/00,Acting,David Alan Grier
2000,actor,4/17/00,Acting,Stanley Tucci
2000,actress,4/18/00,Acting,Samantha Mathis
2000,actress,4/25/00,Acting,Kirsten Dunst
2000,film actress,4/26/00,Acting,Jeanne Tripplehorn
2000,actor,4/27/00,Acting,Stephen Baldwin
2000,Film actress,5/1/00,Acting,S. Epatha Merkerson
2000,actor,5/10/00,Acting,Andy Richter
2000,actress,5/11/00,Acting,Betty White
2000,television actress,5/15/00,Acting,Tracey Ullman
2000,actor,5/16/00,Acting,Kyle MacLachlan
2000,actress,5/17/00,Acting,Jane Leeves
2000,actor,5/18/00,Acting,Michael Rapaport
2000,actor,5/2/00,Acting,Luke Wilson
2000,actress,5/3/00,Acting,Julie Warner
2000,actress,5/30/00,Acting,Laura Kightlinger
2000,actress,5/31/00,Acting,Thandie Newton
2000,actor,5/4/00,Acting,Eric Close
2000,actress,5/8/00,Acting,Wendie Malick
2000,actor,5/9/00,Acting,Jesse L. Martin
2000,actor,6/13/00,Acting,Mark Curry
2000,actress,6/15/00,Acting,Julie Brown
2000,actor,6/21/00,Acting,Freddie Prinze Jr.
2000,actress,6/22/00,Acting,Alicia Silverstone
2000,actor,6/29/00,Acting,John C. Reilly
2000,actress,6/6/00,Acting,Kelli Williams
2000,actress,7/10/00,Acting,Anna Paquin
2000,actor,7/11/00,Acting,J. K. Simmons
2000,actress,7/12/00,Acting,Famke Janssen
2000,actor,7/13/00,Acting,Billy Crudup
2000,actor,7/17/00,Acting,Shawn Wayans & Marlon Wayans
2000,actor,7/17/00,Acting,Shawn Wayans & Marlon Wayans
2000,actress,7/18/00,Acting,Halle Berry
2000,actor,7/24/00,Acting,Peter Fonda
2000,actress,7/26/00,Acting,Jennifer Beals
2000,actor,8/16/00,Acting,William Baldwin
2000,actor,8/22/00,Acting,Jeremy Piven
2000,actor,8/24/00,Acting,Vincent D'Onofrio
2000,actor,9/11/00,Acting,Joe Mantegna
2000,actor,9/12/00,Acting,Eugene Levy
2000,actor,9/18/00,Acting,Ryan Phillippe
2000,actress,9/19/00,Acting,Jamie Lee Curtis
2000,actor,9/21/00,Acting,Jamie Foxx
2000,actor,9/26/00,Acting,Bill Goldberg
2000,actor,9/27/00,Acting,Sylvester Stallone
2000,actor,9/28/00,Acting,Tony Danza
2000,film actor,9/5/00,Acting,Donal Logue
2000,actor,9/6/00,Acting,Greg Kinnear
2001,actress,1/11/01,Acting,Julia Stiles
2001,actor,1/15/01,Acting,Willem Dafoe
2001,actor,1/16/01,Acting,Tim Robbins
2001,actress,1/18/01,Acting,Lynn Whitfield
2001,actor,1/23/01,Acting,Matthew McConaughey
2001,actor,1/25/01,Acting,Topher Grace
2001,actor,1/29/01,Acting,David Boreanaz
2001,film actress,1/30/01,Acting,Dyan Cannon
2001,actor,1/31/01,Acting,James van der Beek
2001,actor,10/1/01,Acting,Kelsey Grammer
2001,actor,10/10/01,Acting,Jeremy Piven
2001,actress,10/16/01,Acting,Lorraine Bracco
2001,actor,10/17/01,Acting,Snoop Dogg
2001,actor,10/2/01,Acting,James Belushi
2001,actor,10/25/01,Acting,Jeff Bridges
2001,actor,10/30/01,Acting,Rob Morrow
2001,actress,10/4/01,Acting,Kate Beckinsale
2001,actor,10/9/01,Acting,Owen Wilson
2001,actor,11/1/01,Acting,Kevin Spacey
2001,actor,11/15/01,Acting,John Stamos
2001,actor,11/26/01,Acting,Edward Burns
2001,actress,11/28/01,Acting,Jennifer Garner
2001,actor,11/5/01,Acting,Paul Rudd
2001,film actress,12/12/01,Acting,Janeane Garofalo
2001,television actress,12/13/01,Acting,Tracey Ullman
2001,actor,12/17/01,Acting,Elijah Wood
2001,actor,12/19/01,Acting,Gary Sinise
2001,actor,12/20/01,Acting,Jamie Foxx
2001,actress,12/5/01,Acting,Marg Helgenberger
2001,actor,12/6/01,Acting,Ted Danson
2001,actor,2/1/01,Acting,Tim Blake Nelson
2001,actress,2/14/01,Acting,Jessica Alba
2001,actor,2/20/01,Acting,Greg Germann
2001,actress,2/22/01,Acting,Kelly Ripa
2001,actor,2/26/01,Acting,Ted Danson
2001,actor,2/27/01,Acting,Joe Pantoliano
2001,actress,2/28/01,Acting,Heather Locklear
2001,actor,3/19/01,Acting,Chris Meloni
2001,actress,3/20/01,Acting,Mary Stuart Masterson
2001,actor,3/22/01,Acting,Denis Leary
2001,television actor,3/28/01,Acting,Mark Harmon
2001,actress,3/29/01,Acting,Jennifer Love Hewitt
2001,actor,3/5/01,Acting,Martin Short
2001,actor,3/6/01,Acting,Ed Burns
2001,actor,3/8/01,Acting,Javier Bardem
2001,actor,4/11/01,Acting,Damon Wayans
2001,television actress,4/12/01,Acting,Brittany Daniel
2001,actress,4/24/01,Acting,Rachael Leigh Cook
2001,actor,4/25/01,Acting,Tom Green
2001,actor,4/26/01,Acting,Tom Cavanagh
2001,actress,4/3/01,Acting,Amy Sedaris
2001,actor,4/30/01,Acting,Eric McCormack
2001,actor,4/4/01,Acting,D.L. Hughley
2001,actor,4/5/01,Acting,Steven Weber
2001,actor,4/9/01,Acting,Paul Reubens
2001,actor,5/1/01,Acting,Dominic Chianese
2001,television actress,5/10/01,Acting,Patricia Richardson
2001,Film actress,5/14/01,Acting,Maura Tierney
2001,actress,5/15/01,Acting,Denise Quií±ones
2001,actor,5/16/01,Acting,Heath Ledger
2001,actor,5/29/01,Acting,Richard Schiff
2001,actor,5/3/01,Acting,Robert Patrick
2001,film actor,5/30/01,Acting,Bradley Whitford
2001,actress,5/31/01,Acting,Leah Remini
2001,actor,5/8/01,Acting,James Van Der Beek
2001,actor,6/13/01,Acting,David Duchovny
2001,actor,6/18/01,Acting,Martin Short
2001,actor,6/19/01,Acting,Michael Rapaport
2001,actor,6/20/01,Acting,Alec Baldwin
2001,actor,6/25/01,Acting,Sam Robards
2001,stunt perfomrer,6/26/01,Acting,Johnny Knoxville
2001,film actor,6/27/01,Acting,Jet Li
2001,actress,6/28/01,Acting,Bridget Fonda
2001,actor,7/11/01,Acting,James Woods
2001,actor,7/12/01,Acting,Vince Vaughn
2001,actor,7/16/01,Acting,Jon Favreau
2001,actor,7/18/01,Acting,Edward Norton
2001,actor,7/19/01,Acting,Hank Azaria
2001,actor,7/23/01,Acting,Larry Miller
2001,actor,7/24/01,Acting,Paul Giamatti
2001,actress,7/30/01,Acting,Jerri Manthey
2001,Film actor,7/31/01,Acting,Peter Krause
2001,actor,7/9/01,Acting,Sean Hayes
2001,actor,8/1/01,Acting,Jackie Chan
2001,actor,8/14/01,Acting,John Carpenter
2001,actor,8/15/01,Acting,Seth Green
2001,film actress,8/2/01,Acting,Janeane Garofalo
2001,actor,8/20/01,Acting,Cuba Gooding Jr.
2001,actor,8/21/01,Acting,Griffin Dunne
2001,actor,8/22/01,Acting,Will Ferrell
2001,actress,8/6/01,Acting,Andie MacDowell
2001,actor,8/9/01,Acting,Jason Biggs
2002,actor,1/10/02,Acting,Jack Black
2002,actor,1/15/02,Acting,Ian McKellen
2002,actor,1/16/02,Acting,Colin Hanks
2002,actor,1/17/02,Acting,Jeremy Northam
2002,actor,1/22/02,Acting,Anthony LaPaglia
2002,actor,1/23/02,Acting,Harold Ramis
2002,actor,1/31/02,Acting,Jason Schwartzman
2002,actress,1/8/02,Acting,Anjelica Huston
2002,actor,1/9/02,Acting,Luke Wilson
2002,actor,10/1/02,Acting,Patrick Dempsey
2002,actor,10/17/02,Acting,Greg Kinnear
2002,actor,10/2/02,Acting,David Schwimmer
2002,actress,10/3/02,Acting,Rita Wilson
2002,actor,10/7/02,Acting,Jake Gyllenhaal
2002,actress,10/8/02,Acting,Jill Hennessy
2002,actor,11/13/02,Acting,Kiefer Sutherland
2002,actor,11/14/02,Acting,Tom Arnold
2002,actor,11/21/02,Acting,Kevin James
2002,actress,12/11/02,Acting,Sandra Bullock
2002,actress,12/12/02,Acting,Anna Paquin
2002,actor,12/18/02,Acting,Edward Norton
2002,actor,12/19/02,Acting,John Cusack
2002,actor,12/2/02,Acting,Andy Richter
2002,actor,12/5/02,Acting,Rob Schneider
2002,actor,2/11/02,Acting,Scott Bakula
2002,actress,2/14/02,Acting,Rebecca Romijn
2002,actress,2/19/02,Acting,Jeri Ryan
2002,actress,3/11/02,Acting,Bea Arthur
2002,actor,3/12/02,Acting,Denis Leary
2002,actor,3/18/02,Acting,Andy Richter
2002,actor,3/20/02,Acting,John Leguizamo
2002,actor,3/21/02,Acting,Aidan Quinn
2002,actress,3/6/02,Acting,Milla Jovovich
2002,actor,3/7/02,Acting,Tom Arnold
2002,actress,4/10/02,Acting,Patricia Arquette
2002,actor,4/15/02,Acting,Samuel L. Jackson
2002,actor,4/18/02,Acting,Richard Dreyfuss
2002,actor,4/22/02,Acting,Michael Clarke Duncan
2002,actor,4/23/02,Acting,Beau Bridges
2002,actor,4/3/02,Acting,Jon Favreau
2002,actress,4/4/02,Acting,Ashley Judd
2002,actor,4/8/02,Acting,Tony Danza
2002,actor,5/14/02,Acting,Liev Schreiber
2002,actor,5/15/02,Acting,Rupert Everett
2002,actress,5/16/02,Acting,Allison Janney
2002,actor,5/2/02,Acting,Willem Dafoe
2002,actor,5/6/02,Acting,Simon Baker
2002,actress,5/8/02,Acting,Diane Lane
2002,actor,5/9/02,Acting,David Boreanaz
2002,actor,6/11/02,Acting,Val Kilmer
2002,actor,6/17/02,Acting,Freddie Prinze Jr.
2002,actor,6/18/02,Acting,Christian Slater
2002,actor,6/20/02,Acting,"David Cross Bob Odenkirk"
2002,actor,6/24/02,Acting,Colin Farrell
2002,actor,6/26/02,Acting,Paul Sorvino
2002,actor,6/3/02,Acting,Colin Firth
2002,actor,6/6/02,Acting,Charles Grodin
2002,actor,7/15/02,Acting,John Ritter
2002,actress,7/16/02,Acting,Michelle Williams
2002,actress,7/18/02,Acting,Natasha Henstridge
2002,actor,7/22/02,Acting,Regis Philbin
2002,actor,7/23/02,Acting,Tim Blake Nelson
2002,actor,7/24/02,Acting,Steven Weber
2002,actor,7/25/02,Acting,Seth Green
2002,actress,7/29/02,Acting,Cynthia Nixon
2002,actor,7/30/02,Acting,Robert Wagner
2002,actor,7/8/02,Acting,Adam Sandler
2002,actor,8/1/02,Acting,Mike Myers
2002,actor,8/12/02,Acting,Michael C. Hall
2002,actor,8/14/02,Acting,Kevin Nealon
2002,actor,8/19/02,Acting,Denis Leary
2002,actor,8/21/02,Acting,Robin Williams
2002,actor,8/22/02,Acting,Matthew Perry
2002,actor,8/6/02,Acting,Antonio Banderas
2002,actor,8/7/02,Acting,Vin Diesel
2002,actor,8/8/02,Acting,Paul Rudd
2002,actor,9/10/02,Acting,Zach Braff
2002,actor,9/17/02,Acting,Jason Lee
2002,actor,9/18/02,Acting,Damon Wayans
2002,actor,9/19/02,Acting,Djimon Hounsou
2002,actress,9/24/02,Acting,Kate Hudson
2002,actress,9/26/02,Acting,Goldie Hawn
2002,actress,9/30/02,Acting,Bonnie Hunt
2002,actress,9/9/02,Acting,Lorraine Bracco
2003,actress,1/13/03,Acting,Kathy Bates
2003,actor,1/22/03,Acting,John C. Reilly
2003,actress,1/27/03,Acting,Rosie Perez
2003,actor,1/28/03,Acting,Sam Rockwell
2003,actor,1/30/03,Acting,Laurence Fishburne
2003,actress,1/7/03,Acting,Cameron Diaz
2003,actor,1/8/03,Acting,Ray Liotta
2003,actor,1/9/03,Acting,Philip Seymour Hoffman
2003,actress,10/1/03,Acting,Vivica A. Fox
2003,actor,10/2/03,Acting,Rob Lowe
2003,actress,10/21/03,Acting,Angelina Jolie
2003,actor,10/23/03,Acting,Anthony Hopkins
2003,actor,10/27/03,Acting,Ted Danson
2003,actor,10/7/03,Acting,"Ronny Cox Marc Singer Robert Amstler Arianna Huffington"
2003,actor,10/9/03,Acting,Tim Robbins
2003,actor,11/10/03,Acting,Will Ferrell
2003,actor,11/11/03,Acting,Peter Dinklage
2003,actor,11/13/03,Acting,Brendan Fraser
2003,actor,11/19/03,Acting,James Spader
2003,actor,11/20/03,Acting,Billy Bob Thornton
2003,actor,11/3/03,Acting,Kyle MacLachlan
2003,actor,11/6/03,Acting,Colin Firth
2003,actor,12/1/03,Acting,Adam Goldberg
2003,actress,12/15/03,Acting,Maggie Gyllenhaal
2003,actor,12/16/03,Acting,Ben Affleck
2003,actress,12/17/03,Acting,Julia Stiles
2003,actress,12/18/03,Acting,Natalie Portman
2003,actor,12/4/03,Acting,Alec Baldwin
2003,actress,12/8/03,Acting,Eva Mendes
2003,actor,12/9/03,Acting,Steve Buscemi
2003,actress,2/11/03,Acting,Bebe Neuwirth
2003,actor,2/12/03,Acting,Michael Clarke Duncan
2003,actor,2/13/03,Acting,Ben Affleck
2003,actor,2/19/03,Acting,Jeff Daniels
2003,actor,2/20/03,Acting,Luke Wilson
2003,actress,2/4/03,Acting,Kate Hudson
2003,actor,3/13/03,Acting,Tom Cavanagh
2003,actor,3/18/03,Acting,Jason Lee
2003,actor,3/20/03,Acting,Eddie Griffin
2003,actress,3/25/03,Acting,Connie Nielsen
2003,actress,3/27/03,Acting,Hilary Swank
2003,actor,3/5/03,Acting,Adrien Brody
2003,actress,4/2/03,Acting,Kelly Preston
2003,Film actor,4/21/03,Acting,Patrick Stewart
2003,Film actress,4/22/03,Acting,Rachel Weisz
2003,actress,4/29/03,Acting,Julia Louis-Dreyfus
2003,actor,4/3/03,Acting,Colin Farrell
2003,actor,4/30/03,Acting,John Malkovich
2003,actress,4/8/03,Acting,Susan Sarandon
2003,actress,5/1/03,Acting,Famke Janssen
2003,actor,5/13/03,Acting,Joshua Jackson
2003,actor,5/8/03,Acting,Paul Rudd
2003,actor,6/16/03,Acting,Harrison Ford
2003,actor,6/19/03,Acting,Ron Livingston
2003,actor,6/9/03,Acting,Guy Pearce
2003,actress,7/14/03,Acting,Angelina Jolie
2003,actor,7/16/03,Acting,Rowan Atkinson
2003,actress,7/21/03,Acting,Gabrielle Union
2003,actor,7/22/03,Acting,Scott Glenn
2003,actress,7/30/03,Acting,Alyson Hannigan
2003,actor,8/11/03,Acting,Samuel L. Jackson
2003,actress,8/12/03,Acting,Kim Cattrall
2003,actor,8/13/03,Acting,Paul Giamatti
2003,actress,8/19/03,Acting,Cynthia Nixon
2003,actor,8/4/03,Acting,Denis Leary
2003,actor,8/6/03,Acting,Robert Duvall
2003,television actress,8/7/03,Acting,Tracey Ullman
2003,actress,9/10/03,Acting,Kate Beckinsale
2003,actor,9/15/03,Acting,"Cuba Gooding, Jr."
2003,actor,9/17/03,Acting,Charlie Sheen
2003,actress,9/18/03,Acting,Christina Ricci
2003,actor,9/23/03,Acting,Michael Caine
2003,actor,9/24/03,Acting,Ben Stiller
2003,actor,9/29/03,Acting,Jack Black
2004,actor,1/19/04,Acting,Philip Seymour Hoffman
2004,actress,1/22/04,Acting,Erika Christensen
2004,actor,1/29/04,Acting,Kelsey Grammer
2004,actor,1/7/04,Acting,Elijah Wood
2004,actress,1/8/04,Acting,Charlize Theron
